name,team,age,gp,wins,losses,min,ortg,drtg,netrtg,astp,ato,orbp,drbp,toratio,efg,tsp,usg,pace,pie
Bryn Forbes,SAS,24,4,0,4,13.5,99,111,-12,6.3,0,9.1,2.1,4.3,3.2,0,35.3,42.3,17.3
Rodney McGruder,MIA,26,4,1,3,4,65.2,81.2,-16,0,0,0,0,25,12.1,0,25,25,10.9
Shabazz Muhammad,MIL,25,4,1,3,7.2,111.7,99.6,12.2,0,0,0,0,15.4,7.7,8.3,55,56.3,40.1
Pat Connaughton,POR,25,4,0,4,14.8,89.5,112.5,-23.1,15.4,6,26.2,3.5,3.9,3.7,4.4,46.7,50.4,12.6
Josh Huestis,OKC,26,4,1,3,4.8,89.7,105.9,-16.2,0,0,0,0,18.8,8.3,0,50,52.1,5.7
Jusuf Nurkic,POR,23,4,0,4,23.4,106.1,118.8,-12.7,6.3,1.33,7.9,12.4,25.6,18.3,5.9,48.7,53.6,20.5
Lorenzo Brown,TOR,27,4,1,3,7.2,91.8,117.9,-26.1,14.3,2,14.4,3.7,20.8,11.8,7.2,40,41.4,20.3
Al-Farouq Aminu,POR,27,4,0,4,32.7,101.9,118.3,-16.3,6.2,0.83,7.8,8.7,22,14.6,9.4,64.4,65.2,18.8
Zach Collins,POR,20,4,0,4,17.4,96.8,116.8,-20,13.3,3,15.1,4.4,16.7,9.8,5,41.7,44.1,21.9
Markelle Fultz,PHI,20,3,2,1,7.6,113.9,110.4,3.6,26.3,5,33.9,0,13,6.2,6.8,14.3,28.5,17.3
Zhou Qi,HOU,22,3,2,1,1.9,91.9,112.6,-20.7,0,0,0,0,20,9.1,0,100,100,7.8
Evan Turner,POR,29,3,0,3,28.9,107.3,117.6,-10.3,15.2,1.67,20,5.2,9.9,7.1,12,39.4,41.3,18.7
Terrance Ferguson,OKC,20,3,1,2,2.1,180.2,114.8,65.3,11.1,0,50,33.3,0,14.3,0,150,150,7
Jason Terry,MIL,40,3,0,3,14.6,109.8,116.3,-6.5,6.1,2,25,4,2.4,3,12.5,60,60,6.3
Richaun Holmes,PHI,24,3,1,2,3.6,86.2,122.3,-36.1,14.3,0,50,0,11.1,4.8,0,0,0,3.8
Derrick White,SAS,23,3,0,3,6.1,123.6,121,2.6,7.7,0,14.3,0,0,0,0,58.3,58.3,15.4
Sterling Brown,MIL,23,3,1,2,4.2,147.3,139.1,8.2,0,0,0,7.7,10,8.7,0,70,70,19.2
DeAndre Liggins,NOP,30,3,2,1,4.5,52.8,121.3,-68.5,0,0,0,0,8.3,3.7,51.5,0,26.6,12
Shabazz Napier,POR,26,2,0,2,17.5,94.3,90.9,3.4,14.3,0.5,14.4,0,6.3,3.1,28.7,45.5,46.3,21.7
Aaron Brooks,MIN,33,2,1,1,1.3,82,82,0,0,0,0,0,0,0,0,66.7,51.5,56.4
Patrick McCaw,GSW,22,2,2,0,2.7,137.5,91.1,46.4,0,0,0,0,40,25,0,50,50,20
Meyers Leonard,POR,26,2,0,2,4.1,126.7,74.6,52.1,0,0,0,0,50,30.8,0,100,100,19.5
Maurice Harkless,POR,25,2,0,2,26.6,108.1,118.8,-10.6,10.3,4,22.2,7,12.2,9.5,5.6,61.5,61.5,12
Marcus Georges-Hunt,MIN,24,2,0,2,1.4,68,101.7,-33.7,0,0,0,25,0,16.7,0,0,0,14.5
Luke Babbitt,MIA,28,2,0,2,1.7,62.1,145.3,-83.2,0,0,0,0,0,0,0,0,0,15.5
Jordan Crawford,NOP,29,2,1,1,7.7,88.2,107.9,-19.7,25,0.33,5.9,0,26.7,13.8,17.6,73.1,73.1,47.2
Tim Frazier,WAS,27,2,1,1,3,93.2,121.8,-28.6,60,0,75,0,20,10,0,0,0,7.2
John Henson,MIL,27,2,0,2,37.1,108.2,105.2,3,9.1,1.25,21.9,7.8,10.8,9.6,17.5,69.2,68.4,11.8
Dakari Johnson,OKC,22,2,0,2,1.6,200,80,120,0,0,0,0,0,0,0,0,0,0
David Stockton,UTA,26,2,1,1,2.9,129.9,118.2,11.7,0,0,0,0,16.7,9.1,0,33.3,33.3,22.5
Glenn Robinson III,IND,24,2,1,1,2.8,114.8,102,12.8,0,0,0,0,33.3,16.7,0,100,100,8.8
Joffrey Lauvergne,SAS,26,1,0,1,5.9,110.5,85,25.5,0,0,0,0,14.3,7.1,0,100,100,7.8
TJ Leaf,IND,21,1,1,0,3.7,174.1,76.1,97.9,0,0,0,0,0,0,0,0,0,0
Jake Layman,POR,24,1,0,1,7.9,124.2,67.1,57.1,16.7,0,25,0,12.5,8.3,0,100,100,16.2
Joe Young,IND,25,1,1,0,2.7,154.6,58.1,96.5,0,0,0,0,0,0,0,0,0,0
Furkan Korkmaz,PHI,20,1,1,0,1.6,233.3,116.3,117.1,0,0,0,0,0,0,0,150,150,33.3
Emeka Okafor,NOP,35,1,1,0,3.6,44.4,124.5,-80,0,0,0,0,0,0,0,0,0,11.1
Jason Smith,WAS,32,1,1,0,2.2,80,112.6,-32.6,0,0,0,0,0,0,0,0,0,0
Tony Bradley,UTA,20,1,0,1,1.9,135.1,133.3,1.8,0,0,0,50,0,33.3,0,50,50,36.8
Chinanu Onuaku,HOU,21,1,1,0,3.2,66.7,119,-52.4,50,0,100,20,0,12.5,0,0,0,0
Caleb Swanigan,POR,21,1,0,1,7.9,124.2,67.1,57.1,11.1,1,17.4,0,25,16.7,17.4,0,39.9,25.7
Brandon Paul,SAS,27,1,0,1,2.5,174.4,108.7,65.7,25,0,100,0,33.3,25,0,0,0,0
Brandon Jennings,MIL,28,1,1,0,4.9,159.9,146.3,13.5,0,0,0,0,0,0,25.8,0,34.7,49.2
Jerryd Bayless,PHI,29,1,0,1,1.7,79.8,69.4,10.3,0,0,0,0,0,0,0,0,0,0
