name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Wayne Ellington,MIA,30,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
Jusuf Nurkic,POR,23,2,0,2,6,3,1,2,50,0,0,0,1,1,100,0,3,3,0,0,0,1,3,9.6,2,0,-7
Evan Turner,POR,29,2,0,2,6,2,0,1,0,0,1,0,2,2,100,1,0,1,0,0,1,0,3,6.2,0,0,-8
Patty Mills,SAS,29,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.5,0,0,3
Jabari Parker,MIL,23,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-7
Aron Baynes,BOS,31,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Dwyane Wade,MIA,36,2,1,1,4,8,3,4,75,0,0,0,2,3,66.7,0,0,0,1,0,1,0,0,12.5,0,0,1
Derrick Favors,UTA,26,2,2,0,8,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.2,1,0,9
Rudy Gay,SAS,31,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,3
OG Anunoby,TOR,20,2,0,2,13,5,2,3,66.7,1,1,100,0,0,0,1,0,1,0,0,0,0,1,6.2,0,0,-7
Otto Porter Jr.,WAS,24,2,1,1,6,1,0,0,0,0,0,0,1,2,50,0,2,2,1,0,0,0,0,4.9,0,0,1
Josh Richardson,MIA,24,2,1,1,5,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,5.4,0,0,-3
Nick Young,GSW,32,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
Maurice Harkless,POR,25,1,0,1,5,5,2,2,100,1,1,100,0,0,0,1,0,1,0,0,0,0,0,6.2,0,0,-4
Kelly Olynyk,MIA,27,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,2
Karl-Anthony Towns,MIN,22,1,0,1,2,2,1,1,100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.2,0,0,-3
Quinn Cook,GSW,25,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,0
Justise Winslow,MIA,22,1,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,1.2,0,0,-5
Raymond Felton,OKC,33,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,3.9,0,0,-1
Justin Anderson,PHI,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Jose Calderon,CLE,36,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Bell,GSW,23,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Royce O'Neale,UTA,24,1,0,1,2,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-2
John Henson,MIL,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Jimmy Butler,MIN,28,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Jeff Teague,MIN,29,1,0,1,2,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,1,2,0,0,-3
Jason Terry,MIL,40,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Jamal Crawford,MIN,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meyers Leonard,POR,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jakob Poeltl,TOR,22,1,0,1,3,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-4
Ian Clark,NOP,27,1,1,0,3,3,1,1,100,1,1,100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Hassan Whiteside,MIA,28,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2.4,1,0,-1
Sterling Brown,MIL,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Derrick Rose,MIN,29,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dejounte Murray,SAS,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Taj Gibson,MIN,32,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Davis Bertans,SAS,25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
David West,GSW,37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brewer,OKC,32,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,-4
Tony Snell,MIL,26,1,0,1,8,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Bam Adebayo,MIA,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
Andrew Wiggins,MIN,23,1,0,1,2,0,0,2,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,2.6,0,0,-3
Tyler Zeller,MIL,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Abrines,OKC,24,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Alec Burks,UTA,26,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,-2
Shabazz Muhammad,MIL,25,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,3.2,0,0,-6
