name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Patrick Beverley,LAC,29,3,1,2,13,0,0,3,0,0,1,0,0,0,0,1,2,3,0,0,3,0,2,12.6,0,0,-2
Tyler Cavanaugh,ATL,24,3,1,2,11,3,1,1,100,1,1,100,0,0,0,1,0,1,2,0,0,0,0,7.2,0,0,1
Guerschon Yabusele,BOS,22,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,-3
Derrick Rose,MIN,29,3,1,2,6,2,0,1,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,2,0,0,0
Lucas Nogueira,TOR,25,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-1
Meyers Leonard,POR,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Cheick Diallo,NOP,21,3,2,1,6,2,1,2,50,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5.6,1,0,8
Damyean Dotson,NYK,24,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Joffrey Lauvergne,SAS,26,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6
Zach Collins,POR,20,3,2,1,8,3,1,1,100,1,1,100,0,0,0,0,0,0,0,1,0,3,1,11,0,0,10
Kadeem Allen,BOS,25,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
Joe Young,IND,25,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tim Frazier,WAS,27,3,0,3,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2,0,0,-8
Justin Anderson,PHI,24,3,2,1,1,2,1,1,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,-1
Nene,HOU,35,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
Tyler Ennis,LAL,23,3,1,2,23,13,6,14,42.9,0,3,0,1,1,100,1,1,2,5,1,0,1,4,24.9,1,0,3
Johnathan Motley,DAL,23,3,1,2,14,9,4,5,80,1,1,100,0,0,0,2,2,4,1,1,1,0,1,17.3,1,0,-9
Marcus Georges-Hunt,MIN,24,3,2,1,7,4,0,1,0,0,0,0,4,6,66.7,1,0,1,0,0,0,0,1,5.2,0,0,0
Ivica Zubac,LAL,21,3,1,2,10,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,1,8.1,1,0,4
Wade Baldwin IV,POR,22,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Cameron Payne,CHI,23,2,1,1,9,5,2,5,40,1,3,33.3,0,0,0,1,0,1,1,2,0,0,0,5.7,1,0,-10
Antonio Blakeney,CHI,21,2,1,1,9,2,0,3,0,0,2,0,2,3,66.7,0,0,0,1,0,1,0,1,6.5,0,0,-10
Solomon Hill,NOP,27,2,0,2,9,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,4.8,0,0,-4
Caleb Swanigan,POR,21,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,2
