name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Rudy Gay,SAS ,31,57,54,100%,62,138,44.9,49.6,74.60%,49,103,47.6,25.40%,13,35,37.1
Tyler Ulis,PHX ,22,64,59,100%,54,136,39.7,44.5,67.60%,41,92,44.6,32.40%,13,44,29.5
Troy Daniels,PHX ,26,74,60,100%,53,136,39,54.4,19.90%,11,27,40.7,80.10%,42,109,38.5
Dragan Bender,PHX ,20,80,66,100%,51,134,38.1,50.4,33.60%,18,45,40,66.40%,33,89,37.1
Ryan Anderson,HOU ,30,66,53,100%,63,133,47.4,66.2,18.00%,13,24,54.2,82.00%,50,109,45.9
Dewayne Dedmon,ATL ,28,61,52,100%,70,131,53.4,59.5,69.50%,54,91,59.3,30.50%,16,40,40
Joe Harris,BKN ,26,77,65,100%,68,131,51.9,65.3,37.40%,33,49,67.3,62.60%,35,82,42.7
Tony Snell,MIL ,26,74,64,100%,58,129,45,56.6,36.40%,28,47,59.6,63.60%,30,82,36.6
Marquese Chriss,PHX ,20,72,64,100%,53,129,41.1,46.9,55.00%,38,71,53.5,45.00%,15,58,25.9
Garrett Temple,SAC ,32,65,55,100%,52,128,40.6,48.8,53.90%,31,69,44.9,46.10%,21,59,35.6
Lonzo Ball,LAL ,20,51,47,100%,43,128,33.6,43,42.20%,19,54,35.2,57.80%,24,74,32.4
Paul Millsap,DEN ,33,37,37,100%,67,127,52.8,58.3,77.20%,53,98,54.1,22.80%,14,29,48.3
Frank Kaminsky,CHA ,25,78,68,100%,55,127,43.3,53.1,56.70%,30,72,41.7,43.30%,25,55,45.5
Kelly Olynyk,MIA ,27,74,59,100%,64,126,50.8,61.1,51.60%,38,65,58.5,48.40%,26,61,42.6
CJ Miles,TOR ,31,66,58,100%,53,126,42.1,59.1,19.00%,10,24,41.7,81.00%,43,102,42.2
Dejounte Murray,SAS ,21,67,61,100%,49,126,38.9,39.7,92.10%,47,116,40.5,7.90%,2,10,20
Jarrett Jack,NYK ,34,57,54,100%,60,125,48,52,78.40%,50,98,51,21.60%,10,27,37
Justin Jackson,SAC ,23,59,49,100%,54,124,43.5,49.2,59.70%,40,74,54.1,40.30%,14,50,28
Rudy Gobert,UTA ,25,56,50,100%,87,122,71.3,71.3,100%,87,122,71.3,0.00%,0,0,-
OG Anunoby,TOR ,20,71,60,100%,65,122,53.3,66,41.00%,34,50,68,59.00%,31,72,43.1
Marcus Smart,BOS ,24,51,43,100%,42,122,34.4,41.8,48.40%,24,59,40.7,51.60%,18,63,28.6
JaMychal Green,MEM ,27,55,53,100%,66,119,55.5,58.8,73.10%,58,87,66.7,26.90%,8,32,25
Jamal Crawford,MIN ,38,77,61,100%,54,119,45.4,52.5,52.90%,37,63,58.7,47.10%,17,56,30.4
Wayne Ellington,MIA ,30,71,64,100%,50,116,43.1,61.2,15.50%,8,18,44.4,84.50%,42,98,42.9
Mario Hezonja,ORL ,23,57,47,100%,61,115,53,59.6,60.90%,46,70,65.7,39.10%,15,45,33.3
D.J. Augustin,ORL ,30,72,51,100%,59,115,51.3,61.3,57.40%,36,66,54.5,42.60%,23,49,46.9
Jarell Martin,MEM ,24,68,55,100%,54,115,47,50.4,80.90%,46,93,49.5,19.10%,8,22,36.4
Tony Parker,SAS ,36,55,46,100%,59,114,51.8,52.6,93.00%,57,106,53.8,7.00%,2,8,25
Wesley Johnson,LAC ,30,70,52,100%,51,114,44.7,53.1,54.40%,32,62,51.6,45.60%,19,52,36.5
Zaza Pachulia,GSW ,34,66,55,100%,72,113,63.7,63.7,100%,72,113,63.7,0.00%,0,0,-
Dante Cunningham,BKN ,31,71,57,100%,55,112,49.1,57.1,50.00%,37,56,66.1,50.00%,18,56,32.1
T.J. McConnell,PHI ,26,74,61,100%,64,111,57.7,61.7,82.90%,55,92,59.8,17.10%,9,19,47.4
Lance Stephenson,IND ,27,80,60,100%,49,111,44.1,50.9,59.50%,34,66,51.5,40.50%,15,45,33.3
John Collins,ATL ,20,73,52,100%,77,110,70,71.8,90.00%,73,99,73.7,10.00%,4,11,36.4
Dwyane Wade,MIA ,36,67,57,100%,56,109,51.4,54.6,85.30%,49,93,52.7,14.70%,7,16,43.8
Dion Waiters,MIA ,26,29,29,100%,48,109,44,51.8,58.70%,31,64,48.4,41.30%,17,45,37.8
Emmanuel Mudiay,NYK ,22,57,44,100%,41,108,38,44,60.20%,28,65,43.1,39.80%,13,43,30.2
Cory Joseph,IND ,26,81,62,100%,44,107,41.1,45.3,71.00%,35,76,46.1,29.00%,9,31,29
Manu Ginobili,SAS ,40,64,55,100%,49,105,46.7,51.4,65.70%,39,69,56.5,34.30%,10,36,27.8
Jeff Green,CLE ,31,77,53,100%,53,104,51,55.3,71.20%,44,74,59.5,28.80%,9,30,30
Trey Lyles,DEN ,22,54,49,100%,45,104,43.3,51.9,50.00%,27,52,51.9,50.00%,18,52,34.6
Larry Nance Jr.,CLE ,25,62,48,100%,56,103,54.4,54.4,97.10%,56,100,56,2.90%,0,3,0
JaVale McGee,GSW ,30,56,43,100%,63,102,61.8,61.8,100%,63,102,61.8,0.00%,0,0,-
Mason Plumlee,DEN ,28,71,47,100%,57,101,56.4,56.4,99.00%,57,100,57,1.00%,0,1,0
Kyle Anderson,SAS ,24,74,56,100%,52,101,51.5,55,84.20%,45,85,52.9,15.80%,7,16,43.8
Mario Chalmers,MEM ,32,63,56,100%,40,101,39.6,46.5,51.50%,26,52,50,48.50%,14,49,28.6
Pat Connaughton,POR ,25,80,58,100%,46,99,46.5,57.6,44.40%,24,44,54.5,55.60%,22,55,40
